Edited,Title,Genre,Author,URL
"Lang thang một tiếng chuông chùa
Sen hồng chợt nở nhớ mùa hạ xưa...
Con đường gầy guộc nắng mưa
Em xa lối ấy
Sao chưa thấy về?
2001
(Tập thơ Cỏ Hoa Thì Thầm – NXB Thanh Niên 2002)",lối cũ,,Thanh Trắc Nguyễn Văn,https://poem.tkaraoke.com/119574/.html
"Thơ họa Nguyễn Thành Sáng & Tam Muội (803)
Chuyện Tình Đôi Ta
Tay nắn nót nhịp theo vần thơ rụng
Nghiệp thăng trầm loan phụng khuấy nội tâm
Những trái ngang trỗi dậy đợt sóng ngầm
Rơi nước mắt âm thầm trong quạnh quẽ
Tình yêu đến đượm muôn màu vạn vẻ
Gió bấc về, khàng khẽ hạt mưa ngâu
Bến sông xanh thuyền đã cập giang cầu
Nhưng thiên kỷ nghĩa sâu đà kết tụ
Tình yêu đến mộng mơ chìm giấc ngủ
Những canh dài ấp ủ mối lương duyên
Anh ngọt ngào nhắn nhủ dạy bảo khuyên
Dòng trải nghiệm hàn huyên vui ngày tháng
Tình yêu đến còn bao điều cáng đáng
Chuỗi tân toan cứ giáng xuống cuộc đời
Gợn nỗi niềm vắt vẻo giữa chơi vơi
Cho khô héo rối bời câu duyên nợ
Tình yêu đến ngả nghiêng buồn trăn trở
Lỡ cung đàn nức nở nhạt sắc tươi
Đành hẹn nhau san sẻ hết kiếp người
Khi mãn phận rạng cười uyên tái ngộ
Anh yêu hỡi! Dẫu lầm than thống khổ
Hãy thay vào thi phổ phút giải khuây
Điểm trăng sương lóng lánh thắm vầng mây
Ươm hoa lá trĩu đầy hương mật ngọt
Để mỗi sáng nghe rừng reo chim hót
Trên bãi hoang ngắm bọt biển êm đềm
Và cánh đồng bát ngát lúa trổ thêm
Tô ánh ngọc môi mềm vai nương tựa
Hoài anh nhé! Thuỷ chung giao thệ hứa
Ngày trở về âm cửa mãi đợi mong
Mái nhà xưa ấm lại phả tấc lòng
Xóa nghịch cảnh long đong nơi trần thế
Nữa hậu duệ lặng nghe lời Mẹ kể
Chuyện thương sầu dâu bể chốn dương gian
Luống lao đao khắc khoải hứng lệ tràn
Nay Cha Mẹ chứa chan miền hạnh phúc.
January 19, 2019
Tam Muội
Anh Đã Thấy Và Lòng Anh…
Quỳnh Nương ơi! Yêu thương và nhung nhớ
Đã loang tràn khắp chỗ khối tâm tư
Anh ở đây ngày tháng nắn vần thơ
Tìm khuây khoả bên bờ sương vắng lạnh!
Còn em bển sớm hôm niềm canh cánh
Lắm bao lần chành chạnh nỗi xót xa
Sao vườn xuân hoa nở đón người ta
Mình thì lại dưới tà đau lặng lẽ
Cả không gian hình như chìm quạnh quẽ
Chứa chan đầy buồn tẻ với tàn rơi
Để âm thầm kẻ thả bước chơi vơi
Người man mác, ngậm ngùi mang tê tái
Chỉ một chuyến… sẽ kéo nhau gần lại
Cho hết sầu, nhức nhói giữa con tim
Cho từ nay dòng nước chảy lặng yên
Mênh mông đó mảnh thuyền êm ả lướt!
Thật đơn giản! Vậy mà không thể được
Có phải vì kiếp trước tội hay chăng
Để ngàn yêu lủng lẳng giữa khung tầng
Treo ngược gió giạt phăng vào nẻo khuất
Ai hiểu được trăm, nghìn lần day dứt
Đẩy, kéo, ghì, lay, giựt ở bên trong
Làm rỉ rên từng chập ép oằn cong
Rồi ngất lịm linh hồn ôm vọng tưởng
Vướng nghịch cảnh khiến tràn loang âm hưởng
Hay tiếng thề lởn vởn trải về đây
Để mãi hoài vương vấn bóng hình ai
Bầu tĩnh lặng kéo dài muôn tha thiết…
Tình ngang trái, không gian trời cách biệt
Duyên đôi ta chỉ biết phải đành cam
Thắt thẻo lòng hướng vọng cõi xa xăm
Gửi theo gió tiếng đàn về yêu dấu…
Anh đã thấy hồn em chìm đau đáu
Thấy vườn hương sáo sậu lạc chung tình
Thấy trăng vàng bị áng phủ lung linh…
Quỳnh Nương hỡi! Yêu mình! Yêu da diết…
20/1/2019
Nguyễn Thành Sáng
nhatlang.com",thơ họa nguyễn thành sáng & tam muội 803.,,Nhất Lang (Nguyễn Thành Sáng),https://poem.tkaraoke.com/119575/.html
"Thơ họa Nguyễn Thành Sáng & Tam Muội (804)
Thơ họa chuyện trò vui
Giây Phút Tâm Tình (1)
Giờ nầy hổng biết ngủ gà
Hay làm bà 8888 bước qua xóm rồi
Thôi thì mình cũng đi chơi
Nhưng mà hổng biết một hồi sao đây
Sợ về bả kiếm chuyện gây
Cho rằng mình tiếp tục bay...kiếm mèo
Thiệt là hổng sợ đói nghèo
Mà lo bả phóng vèo vèo...ghè tương
Ôi thôi! Nghĩ cũng thấy buồn
Hết lòng chung thủy, trọn thương vậy mà
Bả nghe lời của người ta
Nghi nầy nghi nọ để mà khổ tui
Lắm khi muốn ngửa kêu trời
Nhưng rồi lại sợ tiếng đời dèm pha
Nói mình với vợ rầy rà
Bởi chồng lộn xộn trăng hoa...có mèo...
NTS
Nằm nghe sóng vỗ thông reo
Hoa lá bên đèo nở rộ đẹp xinh
Rồi em e ấp bên Mình
Tay đan thả bước in hình chung đôi
Ngước lên nhìn áng mây trôi
Cổ thụ ta ngồi hóng mát ban trưa
Chim khuyên lảnh lót như vừa
Ngụm làn tinh khiết giọt mưa cuối mùa
Nhịp nhàng chèo mái nhẹ khua
Hai đứa vui đùa tạt nước trên sông
Bỗng nhiên gió giạt bão giông
Bầu đen ảm đạm mây lồng tụ gom
Giựt mình trời đã tối om
Tui phải lòm còm lên mạng mới hay
Thì ra ông đợi trên này
Quợ xin lỗi nhé, từ rày hỏng mơ....
TM
nhatlang.com",thơ họa nguyễn thành sáng & tam muội 804.,,Nhất Lang (Nguyễn Thành Sáng),https://poem.tkaraoke.com/119576/.html
"Đường đi hoang vắng đêm
Ngồi ngó thêm lạnh hồn
Chẳng bóng ai qua đó
Để gửi lời tới em
Đường đi ngó đêm nay
Biết sao lòng thương này
Muốn gửi tới em đó
Đường vắng vắng lạnh say
08.00 đêm 07.05.2018
ngó đường đêm vắng tanh
nhớ nàng",vắng lặng say,,Bounthanh Sirimoungkhoune,https://poem.tkaraoke.com/119577/.html
"Một bóng phảng phất đâu đây
Sao để anh mãi thương rầy tiếc mong
Chân trời góc biển đêm thanh
Xinh xinh hình bóng long lanh bên trời
Tặng nhau bao tiếng gọi mời
Cuốn hồn đêm đến trôi qua bến bờ
Dạt dào đêm lạnh lòng khuya
Cầu xin đêm đến giấc mơ có nàng
10.50 đêm 07.05.2018
giấc mơ nào cũng muốn có nàng",giấc mơ có nàng,,Bounthanh Sirimoungkhoune,https://poem.tkaraoke.com/119578/.html
"Một trạm thời gian như ngủ say
Như thấy bóng ai in từng ngày
Rồi cuốn hồn anh đi xa đó
Sao thấy chuyện lòng cứ mãi say
Một trạm thời gian chìm trong mơ
Đêm hồn như trăng trôi lững lờ
Như em gọi anh nơi xa đó
Tận cuối trời xa xa tít mờ
07.50 đêm 08.05.2018
ngồi ngó cuối trời nhớ em
đêm nay",như ngủ say,,Bounthanh Sirimoungkhoune,https://poem.tkaraoke.com/119579/.html
"Cầu trời đừng đổ mưa
Để hồn anh trôi về
Nơi có em bên đó
Xin trời đừng có mưa
Cầu trời đẹp đêm khuya
Để anh ghi duyên thơ
Chờ gửi về nơi đó
Tới lòng em đêm khuya
11.00 đêm 08.05.2018
ngồi ghi thơ nhớ em đêm nay",đừng đổ mưa,,Bounthanh Sirimoungkhoune,https://poem.tkaraoke.com/119580/.html
"Một mình đêm vắng anh ngồi
Một mình như thấy lòng vơi đêm về
Một mình như thấy chán chê
Một mình như thấy đêm khuya lạnh lùng
Một mình ngồi đợi ngồi mong
Một mình như thấy tiếng lòng gọi em
Một mình trà cạn đêm thanh
Một mình lòng thấy long lanh yêu nàng
09.00 đêm 09.05.2018
buồn thơ thẩn một mình đêm",một mình 3,,Bounthanh Sirimoungkhoune,https://poem.tkaraoke.com/119581/.html
"Canh khuya tiếng gọi nhớ thương em
Một trạm đề thơ lạnh ngoài hiên
Xào xạc tiếng lá mùa thu ấy
Bộn bề trong lòng thấy thêm thương
Canh khuya bờ môi phủ tên em
Cứ thấy đêm về lòng chẳng im
Ngập phủ bóng em mùi thương nhớ
Trong mơ đêm nào cũng có em
12.00 đêm 09.05.2018
cầu giấc mơ rõ bóng em đêm",cũng có em 2,,Bounthanh Sirimoungkhoune,https://poem.tkaraoke.com/119582/.html
"Đêm nào lòng đổ mưa
Chợt choàng nửa đêm khuya
Ngồi buồn sầu trong nhớ
Cầu mơ có em về
Đêm nào hồn đong đưa
Yêu vẫn thiếu chẳng thừa
Gọi thầm tên em đó
Một mình buồn bã khuya
09.00 đêm 10.05.2018
một mình thơ thẩn ngồi
đến khuya",buồn bã khuya,,Bounthanh Sirimoungkhoune,https://poem.tkaraoke.com/119583/.html
