Content,Title,Genre,Author,URL,Edited
"LUẬN VỀ ĐỒNG TIỀN
Đồng tiền là Tiên ,là Phật
Khen ai so sánh tuyệt hay?
Khen ai vo tròn đôi mắt?
Mơ màng câu chuyện đó đây
Đồng tiền cho ta sức bật
Tuổi trẻ Phù Đổng vươn vai
Đừng ai vô tình đánh mất?
Gập ghềnh sỏi đá chông gai
Đồng tiên đi liền sức khỏe
Hồi xuân bóng cả cây già
Làn gió mùa xuân mát mẻ
Ngơ ngẩn hết mùa bướm hoa
Đồng tiền cái đà danh vọng
Bậc thang từng nấc leo trèo
Từ bi cửa tình núp bóng
Của ngon vật lạ mỡ mèo
Đồng tiên che thân cái lọng
Bóng trùm phủ kín trắng đen
Trời cao dỗi hờn đất rộng
Nhục vinh ngồi khóc ươn hèn
Đồng tiền cán cân công lí
Trong tay có sẵn bấy lâu
Ngay thẳng thành công đố kị
Khen ai ráo máng cạn tàu?
Đồng tiền đi liền khúc ruột
Đâm toạc tờ giấy ai hay?
Khóc than trông gà hóa cuốc
Ngày đêm than vắn thở dài
Đồng tiền cho em sắc đẹp
Anh về đuổi bóng thời gian
Đồng tiền đôi khi mở khép
Xô lệch hết mùa dung nhan
Ngày 11/10/2017
Ân Thiên ( Bình Dương)",luận về đồng tiền,,Thiên Ân,https://poem.tkaraoke.com/76672/.html,
"HÃY ĐẾN VỚI ANH
Em về xếp bỏ chuyện hồng nhan
Hãy tới cùng anh đổi nhịp đàn
Bến lạnh sao còn neo huyễn ảo
Đêm sầu chẳng lẽ níu mù tan
Vần thơ vẫn đó làn mây bạc
Ngõ mộng là đây mảnh gió ngàn
Hứa sẽ bên người khi trở lạnh
Qua mùa gió thổi quyện tình đan ./.
Lê Cảnh Tiến 11112017",hãy đến với anh,,Lê Cảnh Tiến,https://poem.tkaraoke.com/76673/.html,
"Mùa thơ TA lại về...
Có còn không những vần thơ mùa cũ
Có còn không từng chiều muộn em về
Khi sắc thu rực nền mây xanh thẳm
TA thả hồn theo khoảng lặng đam mê
Em cảm nhận mùa chưa qua nặng trĩu
Sao lòng anh dan díu những ưu phiền
Bao nhánh đời trôi nổi lắm oan khiên
Tình TA vững dù muôn nghìn thác lũ
Dòng thời gian là chuyến tàu chuyên chở
Trân quý nào trên hành lý sân ga
Buổi ghì chặt, phút ôm nhau vội vã
TA như thấy ngày hạnh ngộ hóa gần
Đồi thu xưa đang chờ Anh quay gót
Mây thanh thanh xen kẻ lá hanh vàng
Hãy trở lại và mang theo giấc đẹp
TA cùng nhau ôn chuyện thuở hồng hoang
Buồn hôm nay chỉ như cơn ảo ảnh
Mai chuyển dần sang ánh biếc hoàng kim
Khi TA rót chén men say nồng ấm
Dìu nhau vào ngây ngất khúc du miên
Vẫn còn em bên đời anh dấn bước
Chia một mùa sương muối đọng chiều loang
Có chi đâu não nề, ...hành trình tiếp
Rồi TA sẽ đỉnh cao khắc huy hoàng
Thuyền viễn xứ đã bao năm xuôi ngược
Nếu đôi lần trắc trở dưới bão giông
Bắt đầu lại, từ con số lần không
TA lũy thừa để lập phương hạnh phúc
Hạt lưu ly của giây phút bình minh
Vụt ngời lên vạn tia hy vọng cuối
Từng đốm nhỏ trong chặng mới hồi sinh
TA khơi nhé quang lân đêm thu ẩn
Đừng thảng thốt giật mình nghe kể lể
Ngày không nhau em tiền kiếp hóa thân
Làm chim sâu giữa vườn mơ ủ cánh
Đợi anh về TA trổi khúc hoan trân.
Dulan
Đàn Em Thêm Nỗi Nhớ
“Làm chim sâu giữa vườn mơ ủ cánh
Đợi anh về Ta trổi khúc hoan trân”…
Cho quên hết bâng khuâng, sầu nẻo vắng
Thôi tháng ngày canh cánh vọng xa xăm!
Ôi vần thơ! Chứa chan “Ta” tha thiết
Bóng thời gian da diết hướng ngàn phương
Nỗi lưu luyến trải buồn lên ánh biếc
Từng đêm dài bóng chiếc quấn sương buông…
Khiến dào dạt rung lắc cửa tâm hồn
Kẻ vương vấn ảnh tròn trong lặng lẽ
Nay thao thức ráng xế khuất đầu non
Thêm xao xuyến tiếng đờn em khảy nhẹ
Để dĩ vãng năm xưa màu sắc tím
Đã chôn vùi tẩn liệm dưới hàng mây
Bỗng ẩn hiện đâu đây quần đảo lượn
Rồi từ từ thẳng tiến đến gần đây
Như nức nở, như giận hờn oán trách
Cớ vì sao xé rách mảnh trăng vàng
Đẩy u tối ngập tràn qua ngõ ngách
Kéo long lanh rụng vách vỡ loang tan?
Sao ngày ấy lại vội vã ra đi
Quên tất cả những gì bên suối mộng
Nào ngọt ngào tấc lòng yêu thủ thỉ
Nào cánh thuyền nhưng chỉ một dòng sông…
Thơ của em! Khúc nhạc sầu bên đó
Vơi u hoài, trăn trở ngóng trời xa
Gieo đậm nét chữ “Ta” từ muôn thuở
Hoá cung đàn theo gió thả ngân nga…
Khiến tôi đây xúc động biết bao nhiêu
Nhớ dĩ vãng thật nhiều muôn lưu luyến
Bởi lận đận, truân chuyên quằn nặng trĩu
Để thời gian kết liễu mối tơ duyên
Cho suốt cả một đời mang ray rứt
Lỡ gieo tình giây phút cảm rung ai
Chuỗi năm tháng chim bay trời viễn xứ
Bỏ mỏi mòn nhung nhớ, ngập heo may!...
7/11/2017
Nguyễn Thành Sáng
...",thơ hoạ của nguyễn thành sáng với dulan,,Dulan,https://poem.tkaraoke.com/76674/.html,
"Về vườn nuôi yến tìm vui
Hỷ nộ ái ố … ngậm ngùi vứt đi
Kinh doanh giao lính thu chi
Trồng trọt rảnh rỗi ta đi lòng vòng
Vân du thỏa chí tan bồng
Hải hồ sơn thủy cho lòng thảnh thơi
Bon chen lãng phí cuộc đời
Giàu nghèo không thoát kiếp người khổ đau
Ta bà mộng ảo qua mau
Nay còn mai mất hơi đâu bận lòng
Đời người tất cả bằng không
Ái hà mê muội ngược dòng truyền miên
Lợi danh sắc dục oan khiên
Tình càng xiết chặt càng điên đảo hồn
Vui về thăm bạn sơn thôn
Buồn viếng chùa để tâm hồn bình yên
Quyết tâm xa lánh ưu phiền
Giữ tâm thanh tịnh an nhiên giữa đời
Tác giả : Huỳnh Ngọc Anh Kiệt
Địa chỉ : 211 Nguyễn Trung Trực - TP. Rạch Giá – Kiên Giang
Phone : 0919021688 - 0942874385
E mail : vitinh_anhkiet_rg@yahoo.com.vn
Web : http://vitinhanhkiet.com/poems
Vườn thơ : http://poem.tkaraoke.com/14421/Huynh_Ngoc_Anh_Kiet/
Tôi như một cánh chim phiêu bạt giữa trời với một vết thương đang nhỏ máu.
""Dù đớn đau quằn quại nhưng tôi vẫn tha thiết yêu thương trần gian điên dại này""",262. xa lánh ưu phiền,,Huỳnh Ngọc Anh Kiệt,https://poem.tkaraoke.com/76675/.html,
"Tháng mười một co ro vào đông giá
Đêm trùm đầu  mắt nhắm ngủ chẳng yên
Hơi lạnh lẽo luồn theo khe cửa há
Trời càng khuya càng phải đắp thêm mền
Sáng thức dậy nhìn đường trơn đóng đá
Bèn xỏ giày , ăn mặc kiểu tuyết sa
Áo nhiều lớp , quần dầy thêm quần lót
Mong xuân sang ,  hạ đến khỏi phiền hà
Cứ như thế xoay vần bao năm tháng
Xa quê hương , mưa đậm , nắng chang chang
Ở hải ngoại trầm ngâm đời vắng lặng
Chuyện ngày xưa tâm trí nhớ mang mang :
Nhà tôn dột dưới tàn cây trứng cá
Xóm nhà nghèo lụt lội mỗi khi mưa
Tiếng xe chạy nửa chừng nghe tắt máy
Sống quanh năm như tưởng chỉ có hè
Qua xứ lạ bốn mùa trông rõ rệt
Đông kéo dài đến độ thấy bi ai
Mơ đất cũ , Sài gòn ôi giã biệt
Sẽ trở về ấm áp một ngày mai ?
QHNC",tháng mười một,,Quoc Hung Nguyen Cao,https://poem.tkaraoke.com/76676/.html,
"Mẹ quê.
Mẹ xưa dãi nắng dầm mưa
Chân mẹ thoăn thoắt, sáng trưa tảo tần
Cả đời hai chữ phong trần
Không than cơ cực khổ thân bao giờ !
Mẹ đi từ sáng tinh mơ...
Đến trưa tan học ,mẹ chờ bên mâm
Chắt chiu, mẹ tính mẹ cầm
Bát cơm ,miếng áo, âm thầm chịu cay
Bao nhiêu cơ cực tháng ngày
Sáng đi giãi nắng chiều say nắng chiều
Mẹ tuy có nói hơi nhiều
Nhưng vì công việc trăm điều mẹ lo..
Nồi cơm, thịt cá mẹ kho
Quần áo đi học chi cho có phần
Đôi khi có những chuyện cần
Chạy đôn ,chạy đáo thấy gần đứt hơi.
Mẹ xưa chẳng thấy đi chơi
Suốt ngày chỉ thấy mẹ bơi viêc nhà
Trước sau thu dọn gần xa
Sáng ,trưa, chiều, tối, chỉ là làm thôi
Làm đi , làm đứng , làm ngồi.
Không phim, không Face, không đồi vi vu
Từ tấm bé, tới chiều thu
Sao mẹ vất vả ,chẳng bù cho con
Tình mẹ luôn mãi vuông tròn
Con nguyện ghi nhớ công ơn muôn đời...
CH2.... Xin tặng các bạn có Mẹ vất vả",mẹ quê,,Cong Chinh (CH2),https://poem.tkaraoke.com/76677/.html,
"Đành Chôn Kỷ Niệm
Giờ đây lặng lẽ dưới thời gian
Có kẻ âm thầm nhúm ngọn than
Sưởi ấm cõi lòng mang nỗi nhớ
Vơi sầu tấc dạ vướng tình tan
Gót chân trĩu nặng bầu cô tịch
Quả đỏ quằn đau bóng lụn tàn
Thôi nhé! Đành chôn bao kỷ niệm
Bởi đâu còn nữa nhạc cung đàn!…
11/11/2017
Nguyễn Thành Sáng",đành chôn kỷ niệm,,Nguyễn Thành Sáng,https://poem.tkaraoke.com/76678/.html,
"Xin chào ông Trump tổng thống Hoa Kỳ
đến Đà Nẵng bằng cái bắt tay tình bạn
khép quá khứ có nhiều nặng nợ
hướng về hợp tác trong tương lai
Cám ơn ông đã chia sẻ niềm đau
với người dân vừa qua cơn bão lớn
cám ơn ông đã nhắc
lịch sử hào hùng mang tên Hai Bà Trưng
Nhân dân Việt Nam sẽ không quên
về giá trị của nền tự do độc lập
tinh thần yêu nước thương nòi là sứ mệnh
quyết đấu tranh để bảo vệ chủ quyền
Thêm một lần sáng mắt sáng lòng
không dựa dẫm mà tự cường dân tộc
""hãy làm chủ bằng chính ngôi nhà của bạn
đồng thuận song phương từ doanh nghiệp tư nhân""
Diễn văn nào thì nghe cũng êm tai
nhưng tôi thích ông Trump là người thực tế
đất nước luôn cần nguồn nhân tài tuổi trẻ
lãnh đạo có tầm nhìn nhạy bén để vươn xa
11.11.2017",nghe ngóng ông trump từ apec 2017,,Gió Phương Nam,https://poem.tkaraoke.com/76679/.html,
"Thơ Họa Của Nguyễn Thành Sáng & Thi Hoàng (396)
Đôi Mắt Và Niềm Ray Rứt
Đôi mắt ửng sầu, thả giọt rơi
Đăm đăm nhìn thẳng hướng vào tôi
Giống như căm hận hay hờn trách
Kẻ khảy đàn ngân một sớm…Rồi!
Ngoảnh mặt âm thầm thẳng bước chân
Trọn đời khuất bóng tận xa xăm
Cho hoài lặng lẽ theo ngày tháng
Thương nhớ bầm gan, tím ruột nàng
Nầy dáng oai hùng dong dỏng cao
Kia hai lóng lánh tợ vì sao
Nọ cười thân thiện gieo ngàn cảm
Đó nhẹ từng câu mật ngọt ngào…
Đã khiến lòng ai nỗi vấn vương
Đến khi người ấy vó buông cương
Chân trời mờ mịt nào quay gót
Bỏ lại thời gian khúc nhạc buồn!…
Phải vậy không em? Phải vậy không?
Mà như tiềm ẩn giữa bên trong
Sắc thu sậm tím màu nhân ảnh
Giây phút tìm quên rải xuống dòng…
Em ơi! kẻ ấy chính là tôi
Một thuở năm xưa dưới ánh trời
Nửa bướm, nửa người bay lởn vởn
Vườn xanh, suối biếc…Để phai phôi
Cảnh đời cát bụi với phong ba
Canh cánh niềm đau bởi nguyệt tà
Khắc khoải, võ vàng không thể chịu
Vô tình ghé bến… Đậu rồi xa!...
Nguyễn Thành Sáng
BÂY GIỜ MÌNH NÓI CÂU TỪ BIỆT NHAU
Chuyện tình ngày ấy đã rơi
Có còn chi nữa hả trời cao xanh
Giận hờn cũng vậy thôi anh
Mình xa nhau nỗi đoạn đành phải xa
Còn đâu cái ánh trăng ngà
Còn đâu sắc tím chiều tà nhớ nhung
Thôi đành quên chữ thuỷ chung
Thôi đành đứt đoạn tương phùng từ nay
Một thời ta đã đắm say
Một thời ta cũng chung tay vẹn tròn
Lời cùng hẹn biển thề non
Tưởng như là sẽ sắt son lâu bền
Đông về lửa vẫn ấm êm
Xuân sang hoa thắm bên thềm khó phai
Mùa hè rực ánh mắt ai
Thu buông sương đẫm bờ vai tựa kề
Bây giờ thuyền lạc bền mê
Cứ xa xa mãi chẳng về chốn xưa
Câu thơ vấp lá rào thưa
Cúc tần dậu cũ cũng vừa nhạt hương
Một rằng yêu hai rằng thương
Áng mây trời cũ còn vương chút hồng
Quê nhà ai vẫn ngóng trông
Mịt mù tin nhạn...cõi lòng chênh chao
Chia tay trời đổ mưa rào
Có cơn gió đắng xoa vào mắt ư?
Thôi thì gói cái tương tư
Bây giờ mình nói câu từ biệt nhau...
Thi Hoàng",thơ họa của nguyễn thành sáng & thi hoàng (396),,Nguyễn Thành Sáng,https://poem.tkaraoke.com/76680/.html,
"Sao chẳng tỏ chi hoài bao tâm sự
Một nỗi niềm chỉ giữ đễ làm riêng
Chẳng chịu tỏ một mình ôm nức nở
Lúc vui buồn lúc than thở bâng quơ
Khi chợt tắt khi ào ào sống đổ
Một nụ cười thổ lộ hết niềm riêng
Khi biện bạch nỗi niềm chôn kín chặt
Một lòng mình không ngõ để yêu thương
Một đau xót muốn cho vào quên lãng
Bất chợt nào ngân lại chút âm vang
Tuy bé nhỏ nhưng tim như khô cảm
Tâm lặng rồi tưới mát trái tim khô
Một trái tim tuy hồng nhưng bé nhỏ
Ấm chân thành nhưng lạnh được yêu thương
Do quá chật những nỗi niềm không tỏ
Do chưa người ban bố nỗi thương yêu...
11/11/2017",niềm riêng,,Mạc Nhất Hương,https://poem.tkaraoke.com/76681/.html,
